is_goal,distance_to_goal,angle_to_goal,shot_body_part,play_pattern,under_pressure,shot_statsbomb_xg
0,23.510423220350585,19.30345396765998,Left Foot,Regular Play,1,0.038882375
1,36.444615514503646,12.41215796309145,Left Foot,From Throw In,0,0.024477394
0,33.23853185686757,13.708899258828232,Right Foot,From Free Kick,0,0.02207015
0,15.423683088030561,25.112519365201305,Left Foot,From Corner,0,0.06158555
0,8.420213774008356,44.31353963693273,Right Foot,From Counter,0,0.27914461
0,26.5,14.69731927951188,Left Foot,From Goal Kick,0,0.022624016
1,18.110770276274838,17.637995562297313,Right Foot,From Throw In,0,0.10405799
0,13.418271125595869,30.543325053353197,Right Foot,Regular Play,0,0.09711841
0,14.803040228277437,27.468303307985806,Right Foot,From Free Kick,0,0.094470315
0,14.948244044034073,29.881515261612027,Left Foot,Regular Play,0,0.051903803
0,8.132035415564786,51.22281001579047,Head,From Corner,1,0.086874224
0,2.0000000000000027,141.34019174590983,Head,From Corner,1,0.638813
0,11.555085460523431,17.38733096845362,Left Foot,From Free Kick,0,0.23307544
0,24.316660954991338,14.725423038485348,Left Foot,Regular Play,0,0.028282227
0,11.241441188744437,25.566026642844232,Right Foot,From Free Kick,0,0.06697492
0,9.525754563287887,45.47891071324955,Head,From Corner,1,0.06988547
1,8.246211251235321,50.9061411137705,Head,Regular Play,1,0.08285139
1,15.970597985047403,28.01672827153534,Left Foot,From Corner,0,0.061030492
1,9.425497334358543,44.66771668590186,Right Foot,Regular Play,0,0.1885282
0,16.198765385053264,23.824260582895423,Right Foot,Regular Play,0,0.11232807
0,28.853076092507013,14.344583727393728,Right Foot,From Free Kick,0,0.042866398
0,26.653705183332388,14.284082510742728,Left Foot,From Free Kick,0,0.021548782
0,36.47862387755328,12.42272342794132,Right Foot,Regular Play,0,0.0065368367
1,15.993123522314209,26.1256220040187,Left Foot,Regular Play,0,0.080026746
1,13.041855696180662,28.13575134157861,Right Foot,From Throw In,1,0.065701395
0,18.208239892971534,22.701044480927578,Right Foot,From Throw In,0,0.045791544
0,22.800877176108823,19.415763913970114,Left Foot,From Throw In,0,0.028478073
